country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",19-10-2025 20:00,28.611281,77.237738,SO2,2,17,11
India,Delhi,Delhi,"Mundka, Delhi - DPCC",19-10-2025 20:00,28.684678,77.076574,PM10,142,500,258
India,Delhi,Delhi,"Mundka, Delhi - DPCC",19-10-2025 20:00,28.684678,77.076574,CO,12,78,20
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",19-10-2025 20:00,28.60909,77.0325413,PM2.5,136,302,215
India,Delhi,Delhi,"ITO, Delhi - CPCB",19-10-2025 20:00,28.628624,77.24106,OZONE,5,44,25
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",19-10-2025 20:00,28.73282,77.170633,PM2.5,257,401,346
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",19-10-2025 20:00,28.73282,77.170633,OZONE,5,172,102
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",19-10-2025 20:00,28.58028,77.233829,CO,42,126,66
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",19-10-2025 20:00,28.588333,77.221667,PM2.5,143,287,225
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",19-10-2025 20:00,28.530785,77.271255,PM10,177,410,278
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",19-10-2025 20:00,28.623763,77.287209,PM2.5,230,400,325
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",19-10-2025 20:00,28.623763,77.287209,NO2,29,205,113
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",19-10-2025 20:00,28.674045,77.131023,CO,32,102,57
India,Delhi,Delhi,"Pusa, Delhi - DPCC",19-10-2025 20:00,28.639652,77.146275,PM2.5,257,356,310
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",19-10-2025 20:00,28.710508,77.249485,OZONE,4,215,143
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",19-10-2025 20:00,28.531346,77.190156,PM2.5,65,207,109
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",19-10-2025 20:00,28.531346,77.190156,NO2,9,97,29
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",19-10-2025 20:00,28.531346,77.190156,CO,37,90,47
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",19-10-2025 20:00,28.699793,77.165453,NO2,34,162,103
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",19-10-2025 20:00,28.570173,76.933762,OZONE,7,76,57
India,Delhi,Delhi,"Narela, Delhi - DPCC",19-10-2025 20:00,28.822836,77.101981,NH3,15,21,17
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",19-10-2025 20:00,28.56789,77.250515,PM2.5,270,419,338
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",19-10-2025 20:00,28.56789,77.250515,PM10,159,412,244
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",19-10-2025 20:00,28.56789,77.250515,NH3,10,15,12
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",19-10-2025 20:00,28.563262,77.186937,NO2,23,157,71
India,Delhi,Delhi,"Rohini, Delhi - DPCC",19-10-2025 20:00,28.732528,77.11992,NH3,10,16,12
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",19-10-2025 20:00,26.902909,75.836858,SO2,13,26,20
